date;Germany;India;Canada
2020-01-22;0;0;0
2020-01-23;0;0;2
2020-01-24;0;0;3
2020-01-25;0;0;3
2020-01-26;0;0;3
2020-01-27;1;0;3
2020-01-28;4;0;4
2020-01-29;4;0;4
2020-01-30;4;1;4
2020-01-31;5;1;4
2020-02-01;8;1;4
2020-02-02;10;2;4
2020-02-03;12;3;4
2020-02-04;12;3;5
2020-02-05;12;3;6
2020-02-06;12;3;6
2020-02-07;13;3;8
2020-02-08;13;3;8
2020-02-09;14;3;8
2020-02-10;14;3;9
2020-02-11;16;3;9
2020-02-12;16;3;9
2020-02-13;16;3;9
2020-02-14;16;3;9
2020-02-15;16;3;9
2020-02-16;16;3;9
2020-02-17;16;3;10
2020-02-18;16;3;10
2020-02-19;16;3;10
2020-02-20;16;3;11
2020-02-21;16;3;13
2020-02-22;16;3;14
2020-02-23;16;3;15
2020-02-24;16;3;16
2020-02-25;16;3;19
2020-02-26;21;3;20
2020-02-27;26;3;22
2020-02-28;53;3;28
2020-02-29;66;3;33
2020-03-01;117;3;38
2020-03-02;150;5;45
2020-03-03;188;5;51
2020-03-04;240;28;59
2020-03-05;349;30;71
2020-03-06;534;31;90
2020-03-07;684;34;98
2020-03-08;847;39;120
2020-03-09;1112;43;144
2020-03-10;1296;56;165
2020-03-11;1567;62;228
2020-03-12;2369;73;289
2020-03-13;3062;82;386
2020-03-14;3795;102;453
2020-03-15;4838;113;549
2020-03-16;6012;119;700
2020-03-17;7156;142;854
2020-03-18;8198;156;1097
2020-03-19;10999;194;1349
2020-03-20;13957;244;1692
2020-03-21;16662;330;2195
2020-03-22;18610;396;2652
2020-03-23;22672;499;3298
2020-03-24;27436;536;3997
2020-03-25;31554;657;4570
2020-03-26;36508;727;5511
2020-03-27;42288;887;6380
2020-03-28;48582;987;7310
2020-03-29;52547;1024;8246
2020-03-30;57298;1251;9478
2020-03-31;61913;1397;10711
2020-04-01;67366;1998;12023
2020-04-02;73522;2543;13742
2020-04-03;79696;2567;15074
2020-04-04;85778;3082;16410
2020-04-05;91714;3588;17599
2020-04-06;95391;4778;19100
2020-04-07;99225;5311;20488
2020-04-08;103228;5916;21724
2020-04-09;108202;6725;23104
2020-04-10;113525;7598;24248
2020-04-11;117658;8446;25624
2020-04-12;120479;9205;26966
2020-04-13;123016;10453;28763
2020-04-14;125098;11487;30452
2020-04-15;127584;12322;32199
2020-04-16;130450;13430;33965
2020-04-17;133830;14352;36091
2020-04-18;137439;15722;37617
2020-04-19;139897;17615;39317
2020-04-20;141672;18539;41029
2020-04-21;143457;20080;42619
2020-04-22;145694;21370;44465
2020-04-23;148046;23077;46274
2020-04-24;150383;24530;47914
2020-04-25;152438;26283;49496
2020-04-26;154175;27890;50707
2020-04-27;155193;29451;52363
2020-04-28;156337;31324;53886
2020-04-29;157641;33062;55575
2020-04-30;159119;34863;57214
2020-05-01;160758;37257;59025
2020-05-02;161703;39699;60381
2020-05-03;162496;42505;61640
2020-05-04;163175;46437;63016
2020-05-05;163860;49400;64411
2020-05-06;164807;52987;65927
2020-05-07;166091;56351;67198
2020-05-08;167300;59695;68398
2020-05-09;168551;62808;69544
2020-05-10;169218;67161;70582
2020-05-11;169575;70768;71606
2020-05-12;170508;74292;72723
2020-05-13;171306;78055;73950
2020-05-14;172239;81997;75060
2020-05-15;173152;85784;76331
2020-05-16;173772;90648;77486
2020-05-17;174355;95698;78694
2020-05-18;174697;100328;79780
2020-05-19;175210;106475;80782
2020-05-20;176007;112028;82038
2020-05-21;176752;118226;83153
2020-05-22;177212;124794;84243
2020-05-23;177850;131423;85150
2020-05-24;178281;138536;86103
2020-05-25;178570;144950;87067
2020-05-26;179002;150793;87834
2020-05-27;179364;158086;88719
2020-05-28;179717;165386;89506
2020-05-29;180458;173491;90575
2020-05-30;181196;181827;91337
2020-05-31;181482;190609;92067
2020-06-01;181815;198370;92863
2020-06-02;182028;207191;93490
2020-06-03;182370;216824;94172
2020-06-04;182764;226713;94754
2020-06-05;183271;236184;95281
2020-06-06;183678;246622;95805
2020-06-07;183979;257486;96217
2020-06-08;184193;265928;96668
2020-06-09;184543;276146;97102
2020-06-10;184861;286605;97592
2020-06-11;185416;297535;98004
2020-06-12;185674;308993;98465
2020-06-13;186022;320922;98806
2020-06-14;186269;332424;99108
2020-06-15;186461;343091;99485
2020-06-16;186839;354065;99844
2020-06-17;187184;366946;100232
2020-06-18;187764;380532;100638
2020-06-19;188534;395048;101026
2020-06-20;189135;410451;101341
2020-06-21;189822;425282;101649
2020-06-22;190359;440215;102004
2020-06-23;190862;456183;102322
2020-06-24;191449;473105;102642
2020-06-25;192079;490401;102936
2020-06-26;192556;508953;103263
2020-06-27;193243;528859;103665
2020-06-28;193499;548318;103978
2020-06-29;193761;566840;104274
2020-06-30;194259;585481;104608
2020-07-01;194725;604641;104830
2020-07-02;195228;625544;105179
2020-07-03;195674;648315;105497
2020-07-04;196096;673165;105725
2020-07-05;196335;697413;105882
2020-07-06;196554;719664;106234
2020-07-07;196944;742417;106547
2020-07-08;197341;767296;106868
2020-07-09;197783;793802;107202
2020-07-10;198178;820916;107550
2020-07-11;198556;849522;107790
2020-07-12;198804;878254;108004
2020-07-13;198963;906752;108546
2020-07-14;199375;936181;108972
2020-07-15;199726;968857;109378
2020-07-16;200260;1003832;109860
2020-07-17;200843;1039084;110389
2020-07-18;201372;1077781;110773
2020-07-19;201574;1118206;111026
2020-07-20;201823;1155338;111821
2020-07-21;202345;1193078;112281
2020-07-22;202799;1238798;112663
2020-07-23;203368;1288108;113399
2020-07-24;204183;1337024;113836
2020-07-25;204964;1385635;114172
2020-07-26;205269;1435616;114479
2020-07-27;205609;1480073;115110
2020-07-28;206242;1531669;115487
2020-07-29;206926;1581963;115988
2020-07-30;207828;1634746;116434
2020-07-31;208698;1695988;116886
2020-08-01;209653;1750723;117140
2020-08-02;209893;1803695;117324
2020-08-03;210402;1855745;117591
2020-08-04;211281;1908254;118280
2020-08-05;212022;1964536;118638
2020-08-06;213067;2027074;118971
2020-08-07;214214;2088611;119413
2020-08-08;215336;2153010;119652
2020-08-09;215891;2215074;119875
2020-08-10;216327;2268675;120458
2020-08-11;217293;2329638;120820
2020-08-12;218519;2396637;121153
2020-08-13;219964;2461190;121647
2020-08-14;221413;2525922;122059
2020-08-15;222828;2589952;122269
2020-08-16;223453;2647663;122444
2020-08-17;224014;2702681;122648
2020-08-18;225404;2767253;123551
2020-08-19;226914;2836925;123906
2020-08-20;228621;2905825;124152
2020-08-21;230048;2975701;124857
2020-08-22;232082;3044940;125060
2020-08-23;232864;3106348;125323
2020-08-24;233575;3167323;126064
2020-08-25;234853;3224547;126435
2020-08-26;236429;3310234;126919
2020-08-27;237936;3387500;127394
2020-08-28;239507;3463972;127956
2020-08-29;240986;3542733;128283
2020-08-30;241771;3621245;128561
2020-08-31;242381;3691166;129594
2020-09-01;243599;3769523;130131
2020-09-02;244855;3853406;130698
2020-09-03;246166;3936747;131350
2020-09-04;247619;4023179;131988
2020-09-05;248997;4113811;132368
2020-09-06;249985;4204613;132799
2020-09-07;250799;4280422;133216
2020-09-08;252298;4370128;134694
2020-09-09;253474;4465863;135200
2020-09-10;255366;4562414;136182
2020-09-11;256850;4659984;136997
2020-09-12;258480;4754356;137636
2020-09-13;259428;4846427;138212
2020-09-14;260355;4930236;139541
2020-09-15;261762;5020359;140471
2020-09-16;263663;5118253;141475
2020-09-17;265857;5214677;142590
2020-09-18;267773;5308014;143871
2020-09-19;270070;5400619;144837
2020-09-20;271415;5487580;145771
2020-09-21;272337;5562663;147451
2020-09-22;274158;5646010;148664
2020-09-23;275927;5732518;150089
